Datetime,PM2_5_ugm3,PM10_ugm3,NO2_ugm3,CO_ugm3,O3_ugm3,SO2_ugm3,Temp_2m_C,Humidity_Percent,Wind_Speed_10m_kmh
2022-08-05 00:00:00,35.5,51.7,58.8,722.0,36.0,29.8,26.5,94.0,7.1
2022-08-05 01:00:00,31.9,46.6,43.2,576.0,45.0,25.9,25.8,94.0,8.8
2022-08-05 02:00:00,28.2,41.0,25.9,421.0,56.0,21.8,25.7,93.0,12.5
2022-08-05 03:00:00,24.8,36.0,18.7,362.0,62.0,20.2,25.3,95.0,10.0
2022-08-05 04:00:00,22.1,31.8,14.3,335.0,67.0,19.4,25.2,95.0,9.5
2022-08-05 05:00:00,40.9,58.8,38.8,595.0,28.0,28.4,24.8,95.0,10.7
2022-08-05 06:00:00,37.5,53.9,40.2,605.0,33.0,33.7,25.3,93.0,11.4
2022-08-05 07:00:00,32.5,46.7,42.0,618.0,40.0,41.2,26.2,89.0,13.1
2022-08-05 08:00:00,32.1,46.4,42.2,615.0,53.0,47.8,27.0,86.0,13.4
2022-08-05 09:00:00,33.1,48.0,38.4,579.0,67.0,46.5,28.0,83.0,12.8
2022-08-05 10:00:00,34.8,50.5,32.5,524.0,83.0,42.3,28.7,81.0,11.8
2022-08-05 11:00:00,33.4,48.7,26.0,470.0,105.0,37.9,29.5,78.0,11.4
2022-08-05 12:00:00,36.3,53.1,23.4,461.0,121.0,37.8,29.8,75.0,11.2
2022-08-05 13:00:00,39.6,57.7,21.6,468.0,138.0,39.1,30.3,74.0,9.9
2022-08-05 14:00:00,41.0,59.5,21.8,484.0,154.0,41.3,29.4,78.0,10.4
2022-08-05 15:00:00,41.7,60.3,22.0,417.0,163.0,41.5,30.4,75.0,8.0
2022-08-05 16:00:00,41.3,59.8,23.1,330.0,169.0,41.6,30.7,74.0,7.6
2022-08-05 17:00:00,39.7,59.4,44.0,540.0,129.0,47.3,29.8,79.0,6.6
2022-08-05 18:00:00,42.5,63.1,61.0,1012.0,101.0,53.9,29.5,80.0,4.9
2022-08-05 19:00:00,59.4,86.6,85.1,1682.0,60.0,63.3,28.5,87.0,5.4
2022-08-05 20:00:00,73.6,106.4,110.0,1790.8,17.0,72.2,27.8,90.0,7.7
2022-08-05 21:00:00,85.7,123.9,116.1,1899.6,4.0,73.2,27.4,91.0,7.5
2022-08-05 22:00:00,88.5,127.6,116.1,2008.4,1.0,71.4,27.1,93.0,5.1
2022-08-05 23:00:00,78.2,112.5,111.7,2117.2,1.0,66.6,26.9,93.0,5.2
2022-08-06 00:00:00,67.3,96.9,105.9,2226.0,4.0,60.9,26.7,94.0,5.6
2022-08-06 01:00:00,59.3,85.7,97.4,1741.0,9.0,53.6,26.5,95.0,4.1
2022-08-06 02:00:00,55.3,80.1,86.1,1204.0,16.0,45.6,26.4,95.0,5.4
2022-08-06 03:00:00,54.6,78.9,78.8,1030.0,17.0,42.4,26.2,96.0,5.4
2022-08-06 04:00:00,55.8,80.8,71.8,957.0,16.0,40.7,26.1,96.0,4.7
2022-08-06 05:00:00,112.2,161.1,106.8,1599.0,1.0,50.05,26.0,97.0,5.2
2022-08-06 06:00:00,101.0,145.3,99.4,2241.0,17.0,59.4,25.6,93.0,7.6
2022-08-06 07:00:00,83.8,120.6,88.6,1692.0,41.0,68.75,25.5,93.0,4.4
2022-08-06 08:00:00,63.1,92.0,72.7,1083.0,77.0,78.1,26.7,89.0,4.2
2022-08-06 09:00:00,54.4,80.6,59.3,866.0,108.0,78.0,28.5,83.0,4.7
2022-08-06 10:00:00,53.3,79.2,44.9,759.0,143.0,77.73333333333333,29.6,80.0,2.3
2022-08-06 11:00:00,54.9,81.3,29.4,677.0,187.0,77.46666666666667,30.5,77.0,1.1
2022-08-06 12:00:00,55.1,81.0,22.2,635.0,220.0,77.2,31.0,74.0,2.4
2022-08-06 13:00:00,54.7,80.6,17.9,629.0,252.0,73.7,31.7,71.0,3.3
2022-08-06 14:00:00,56.1,82.4,17.2,636.0,245.5,69.4,32.2,69.0,3.4
2022-08-06 15:00:00,56.3,82.4,18.9,581.0,239.0,66.3,32.5,66.0,3.2
2022-08-06 16:00:00,56.5,82.4,23.2,517.0,232.5,63.5,32.7,65.0,3.9
2022-08-06 17:00:00,54.9,80.6,44.5,647.0,226.0,62.5,31.7,67.0,4.7
2022-08-06 18:00:00,71.5,104.3,74.2,1130.0,180.0,67.2,30.9,72.0,5.9
2022-08-06 19:00:00,98.5,142.5,116.6,1814.0,113.0,73.8,29.8,82.0,4.0
2022-08-06 20:00:00,109.7,158.3,116.38571428571429,1921.25,41.0,76.3,29.3,83.0,5.4
2022-08-06 21:00:00,117.6,169.5,116.17142857142856,2028.5,17.0,78.8,28.8,87.0,4.7
2022-08-06 22:00:00,115.0,165.8,115.95714285714286,2135.75,7.0,75.6,28.5,88.0,6.0
2022-08-06 23:00:00,109.0,156.9,115.74285714285712,2243.0,1.0,69.9,28.1,89.0,6.0
2022-08-07 00:00:00,99.7,143.9,115.52857142857142,2019.0,-2.0,65.7,27.9,90.0,5.2
2022-08-07 01:00:00,93.1,134.1,115.3142857142857,1730.0,0.0,60.7,27.6,90.0,5.2
2022-08-07 02:00:00,84.8,122.5,115.1,1345.0,9.0,52.7,27.5,91.0,5.2
2022-08-07 03:00:00,68.9,99.2,90.3,1065.0,24.0,44.2,27.0,90.0,8.4
2022-08-07 04:00:00,51.8,74.5,61.8,785.0,43.0,34.4,25.2,94.0,14.3
2022-08-07 05:00:00,50.9,73.1,50.3,668.0,57.0,28.5,26.0,93.0,4.1
2022-08-07 06:00:00,32.2,46.3,49.2,635.0,57.0,30.6,26.1,92.0,4.3
2022-08-07 07:00:00,21.7,31.3,47.5,588.0,57.0,33.7,26.9,88.0,6.7
2022-08-07 08:00:00,17.9,26.2,44.3,536.0,62.0,37.6,27.6,85.0,6.9
2022-08-07 09:00:00,17.2,25.1,40.8,520.0,71.0,39.8,28.8,81.0,7.6
2022-08-07 10:00:00,19.7,28.5,36.8,514.0,83.0,41.8,29.9,75.0,10.3
2022-08-07 11:00:00,21.9,32.1,31.9,508.0,103.0,43.9,30.3,73.0,12.9
2022-08-07 12:00:00,26.9,39.3,28.6,499.0,123.0,44.7,30.7,72.0,13.8
2022-08-07 13:00:00,30.7,45.4,25.8,491.0,146.0,45.0,29.9,76.0,12.7
2022-08-07 14:00:00,35.6,53.1,24.9,487.0,168.0,45.8,30.5,77.0,11.8
2022-08-07 15:00:00,37.7,56.5,26.5,462.0,175.0,47.2,30.4,77.0,13.9
2022-08-07 16:00:00,39.2,58.9,30.0,433.0,176.0,49.0,28.4,84.0,11.9
2022-08-07 17:00:00,31.1,44.5,77.8,821.0,48.0,67.2,27.7,86.0,9.4
2022-08-07 18:00:00,29.9,42.7,78.3,912.0,44.0,65.0,27.3,87.0,9.0
2022-08-07 19:00:00,33.1,47.1,79.2,1043.0,39.0,61.8,27.0,89.0,7.2
2022-08-07 20:00:00,36.4,52.2,81.2,1217.0,31.0,58.0,26.7,91.0,5.4
2022-08-07 21:00:00,40.4,57.6,84.0,1344.0,23.0,56.6,26.5,92.0,6.0
2022-08-07 22:00:00,45.1,64.5,87.6,1471.0,14.0,55.8,26.1,93.0,6.8
2022-08-07 23:00:00,46.2,66.1,90.9,1559.0,5.0,54.4,25.9,94.0,7.2
2022-08-08 00:00:00,45.5,65.0,91.9,1519.0,1.0,52.6,25.8,95.0,5.4
2022-08-08 01:00:00,46.7,66.6,92.0,1416.0,0.0,50.5,25.7,95.0,7.6
2022-08-08 02:00:00,48.5,69.4,88.6,1263.0,0.0,47.5,25.4,95.0,5.9
2022-08-08 03:00:00,49.1,70.3,81.6,1161.0,3.0,44.4,25.2,96.0,5.2
2022-08-08 04:00:00,47.7,68.2,71.8,1052.0,7.0,41.0,25.1,96.0,4.7
2022-08-08 05:00:00,55.6,79.6,71.1,1322.0,6.0,43.5,25.0,97.0,4.3
2022-08-08 06:00:00,49.9,71.2,66.2,1197.0,19.0,51.0,25.6,95.0,3.4
2022-08-08 07:00:00,48.1,68.7,59.2,1019.0,37.0,61.5,26.6,91.0,3.8
2022-08-08 08:00:00,43.5,62.4,49.7,809.0,65.0,71.7,28.1,84.0,5.7
2022-08-08 09:00:00,41.6,59.5,43.3,713.0,89.0,72.5,29.6,78.0,5.8
2022-08-08 10:00:00,43.7,62.6,37.1,642.0,116.0,69.9,30.7,74.0,5.6
2022-08-08 11:00:00,43.1,61.7,30.0,571.0,148.0,64.7,31.9,69.0,6.3
